Ano,Estado,Mortos,Pessoas,Acidente
2007,AC,20,766,324
2007,AL,132,3563,1604
2007,AM,12,484,173
2007,AP,15,419,150
2007,BA,605,17371,7088
2007,CE,182,4891,2261
2007,DF,67,2724,1139
2007,ES,217,13255,6243
2007,GO,325,11724,5608
2007,MA,277,4667,2112
2007,MG,1032,41078,20601
2007,MS,155,5296,2299
2007,MT,223,5629,2638
2007,PA,151,6868,3128
2007,PB,164,5853,2696
2007,PE,356,10112,4765
2007,PI,148,3785,1881
2007,PR,333,14854,7073
2007,RJ,480,24023,11670
2007,RN,168,6647,3067
2007,RO,85,4511,2082
2007,RR,51,1198,458
2007,RS,353,22170,11038
2007,SC,587,30605,14585
2007,SE,102,2618,1159
2007,SP,402,21638,11109
2007,TO,97,1543,712
2008,AC,13,845,353
2008,AL,102,3983,1778
2008,AM,11,521,194
2008,AP,13,498,168
2008,BA,660,18903,7629
2008,CE,193,5995,2691
2008,DF,49,2523,1044
2008,ES,208,13654,6380
2008,GO,391,13536,6455
2008,MA,248,5196,2292
2008,MG,1142,45160,22710
2008,MS,174,6235,2635
2008,MT,233,6811,3110
2008,PA,174,7360,3299
2008,PB,185,7027,3325
2008,PE,376,11592,5320
2008,PI,165,4176,2030
2008,PR,292,19414,9683
2008,RJ,487,28143,13434
2008,RN,139,6160,2873
2008,RO,117,5513,2430
2008,RR,33,844,313
2008,RS,398,23497,11254
2008,SC,539,32609,15596
2008,SE,81,2809,1232
2008,SP,394,24007,11980
2008,TO,97,1760,823
2009,AC,31,973,365
2009,AL,125,4269,1914
2009,AM,11,639,199
2009,AP,9,442,161
2009,BA,638,19833,8208
2009,CE,141,6488,2913
2009,DF,43,3083,1227
2009,ES,220,14448,6746
2009,GO,451,15616,7177
2009,MA,279,5243,2319
2009,MG,1214,50419,25078
2009,MS,177,6618,2836
2009,MT,226,7683,3564
2009,PA,169,7859,3412
2009,PB,202,7592,3546
2009,PE,429,13172,5983
2009,PI,199,4622,2215
2009,PR,558,31923,15607
2009,RJ,469,29716,14207
2009,RN,140,7189,3315
2009,RO,97,7471,3094
2009,RR,19,793,287
2009,RS,379,24442,11715
2009,SC,563,37244,17895
2009,SE,77,2706,1201
2009,SP,382,24474,12473
2009,TO,93,2157,977
2010,AC,14,1103,462
2010,AL,153,5423,2277
2010,AM,18,878,239
2010,AP,12,439,162
2010,BA,813,22069,9439
2010,CE,276,8671,3784
2010,DF,41,3171,1299
2010,ES,315,16939,7830
2010,GO,515,19073,8011
2010,MA,298,6181,2604
2010,MG,1344,54897,27377
2010,MS,197,8515,3506
2010,MT,234,7989,3744
2010,PA,202,9896,4291
2010,PB,194,8048,3856
2010,PE,475,16846,7358
2010,PI,208,5476,2642
2010,PR,723,44083,20984
2010,RJ,532,34476,16435
2010,RN,194,8553,3935
2010,RO,123,8031,3417
2010,RR,33,684,228
2010,RS,500,31236,14508
2010,SC,567,40745,19445
2010,SE,120,3309,1456
2010,SP,407,26070,13100
2010,TO,115,2573,1068
2011,AC,23,1248,518
2011,AL,156,5431,2364
2011,AM,34,873,249
2011,AP,19,703,232
2011,BA,779,23750,10435
2011,CE,227,8610,3825
2011,DF,63,3815,1583
2011,ES,317,17017,7952
2011,GO,510,18353,8059
2011,MA,311,6917,3042
2011,MG,1304,55090,27426
2011,MS,228,8238,3507
2011,MT,260,8241,3888
2011,PA,181,10213,4577
2011,PB,176,8202,3990
2011,PE,474,18258,8229
2011,PI,236,5837,2834
2011,PR,740,48587,22188
2011,RJ,559,38002,18279
2011,RN,183,8828,4083
2011,RO,152,9165,3847
2011,RR,35,737,274
2011,RS,456,31937,14995
2011,SC,627,40363,19240
2011,SE,98,3667,1643
2011,SP,398,27653,13965
2011,TO,129,2524,1090
2012,AC,21,1302,503
2012,AL,191,5103,2194
2012,AM,19,659,218
2012,AP,12,639,241
2012,BA,849,23349,10281
2012,CE,238,8496,3746
2012,DF,71,3419,1448
2012,ES,261,16597,7719
2012,GO,519,17752,7691
2012,MA,323,6731,3054
2012,MG,1196,54007,26781
2012,MS,178,7738,3338
2012,MT,270,9151,4284
2012,PA,196,8879,3842
2012,PB,223,8542,4105
2012,PE,452,16042,7217
2012,PI,235,5758,2768
2012,PR,855,45222,20749
2012,RJ,576,36831,17431
2012,RN,207,8337,3868
2012,RO,153,8468,3577
2012,RR,28,661,247
2012,RS,457,30296,14109
2012,SC,551,38661,18282
2012,SE,105,3668,1672
2012,SP,361,27805,14012
2012,TO,114,2780,1179
2013,AC,23,1027,448
2013,AL,148,5409,2376
2013,AM,18,595,234
2013,AP,28,819,277
2013,BA,799,23563,10386
2013,CE,233,8891,4010
2013,DF,40,3563,1535
2013,ES,303,17761,8217
2013,GO,504,18218,7985
2013,MA,294,6635,2956
2013,MG,1264,54775,26475
2013,MS,233,8429,3726
2013,MT,297,9622,4572
2013,PA,186,8291,3601
2013,PB,180,8973,4242
2013,PE,404,17059,7612
2013,PI,200,6149,2879
2013,PR,750,43959,19787
2013,RJ,564,36539,17066
2013,RN,208,8805,3975
2013,RO,130,7852,3227
2013,RR,33,884,341
2013,RS,489,32827,15214
2013,SC,506,40330,18988
2013,SE,101,3426,1558
2013,SP,381,28220,13770
2013,TO,110,3177,1279
2014,AC,32,1103,457
2014,AL,149,3329,1529
2014,AM,18,447,168
2014,AP,10,751,273
2014,BA,794,23394,10407
2014,CE,291,8466,3791
2014,DF,46,3170,1327
2014,ES,279,17292,7805
2014,GO,468,15563,7125
2014,MA,316,6111,2619
2014,MG,1163,46206,21882
2014,MS,226,7590,3428
2014,MT,282,9391,4464
2014,PA,195,7368,3232
2014,PB,182,7736,3658
2014,PE,425,16654,7405
2014,PI,228,5903,2728
2014,PR,778,37791,17177
2014,RJ,537,33580,15403
2014,RN,150,7954,3675
2014,RO,103,6735,2704
2014,RR,30,884,309
2014,RS,507,30532,14432
2014,SC,536,38519,18190
2014,SE,64,3497,1562
2014,SP,307,25232,12138
2014,TO,117,3282,1301
2015,AC,20,1151,468
2015,AL,118,2402,1071
2015,AM,15,451,131
2015,AP,11,599,218
2015,BA,642,16183,7152
2015,CE,202,6155,2636
2015,DF,47,2552,1040
2015,ES,172,10630,4762
2015,GO,442,13846,6131
2015,MA,300,4815,2031
2015,MG,961,33216,15537
2015,MS,160,6258,2818
2015,MT,240,8231,3759
2015,PA,191,5500,2317
2015,PB,170,5874,2753
2015,PE,410,11415,5078
2015,PI,169,4667,2156
2015,PR,584,28303,12790
2015,RJ,401,20891,9570
2015,RN,185,5569,2521
2015,RO,111,5046,2118
2015,RR,31,818,319
2015,RS,396,21533,9869
2015,SC,460,30080,14033
2015,SE,67,2513,1097
2015,SP,267,18376,8901
2015,TO,93,1950,873
2016,AC,23,820,330
2016,AL,104,2136,951
2016,AM,22,481,166
2016,AP,16,486,198
2016,BA,610,12901,5495
2016,CE,224,5702,2419
2016,DF,58,2656,1066
2016,ES,187,7232,3230
2016,GO,351,11447,4967
2016,MA,221,3592,1512
2016,MG,829,31138,14369
2016,MS,146,5770,2466
2016,MT,220,7118,3262
2016,PA,184,4239,1732
2016,PB,156,4335,1932
2016,PE,386,8220,3623
2016,PI,149,3473,1501
2016,PR,651,24427,11030
2016,RJ,370,13458,6118
2016,RN,144,3679,1626
2016,RO,102,4036,1715
2016,RR,24,743,296
2016,RS,348,17077,7514
2016,SC,450,22982,10604
2016,SE,57,1726,763
2016,SP,255,14377,6631
2016,TO,109,1984,836
2017,AC,18,793,304
2017,AL,102,2022,904
2017,AM,14,325,131
2017,AP,9,431,166
2017,BA,594,11316,4687
2017,CE,190,4597,1954
2017,DF,46,2713,1093
2017,ES,201,6872,3004
2017,GO,344,9961,4367
2017,MA,246,3799,1583
2017,MG,868,28815,12727
2017,MS,162,4631,1933
2017,MT,191,7584,3526
2017,PA,162,3685,1504
2017,PB,139,4343,1852
2017,PE,343,7819,3440
2017,PI,209,3703,1540
2017,PR,612,23826,10689
2017,RJ,341,13205,5967
2017,RN,139,3336,1457
2017,RO,119,4513,1831
2017,RR,37,737,286
2017,RS,391,14988,6385
2017,SC,381,23352,10663
2017,SE,51,1756,763
2017,SP,255,13355,6011
2017,TO,82,1892,785
2018,AC,26,629,235
2018,AL,91,1625,691
2018,AM,17,347,124
2018,AP,15,543,173
2018,BA,456,8987,3555
2018,CE,180,3997,1697
2018,DF,44,2186,867
2018,ES,133,6150,2642
2018,GO,282,8211,3463
2018,MA,231,3326,1272
2018,MG,693,21885,9066
2018,MS,109,3702,1529
2018,MT,229,5758,2631
2018,PA,143,3118,1260
2018,PB,133,3747,1588
2018,PE,296,6435,2715
2018,PI,159,3329,1370
2018,PR,494,18274,7951
2018,RJ,276,10787,4575
2018,RN,118,3285,1416
2018,RO,91,4191,1629
2018,RR,22,616,236
2018,RS,314,10885,4445
2018,SC,386,19338,8494
2018,SE,41,1298,559
2018,SP,207,10548,4516
2018,TO,85,1592,589
2019,AC,24,601,254
2019,AL,97,1499,629
2019,AM,18,246,101
2019,AP,16,332,128
2019,BA,475,8879,3470
2019,CE,157,4101,1694
2019,DF,52,2727,1090
2019,ES,147,6581,2842
2019,GO,277,8040,3354
2019,MA,197,2744,1075
2019,MG,677,21375,8718
2019,MS,124,3576,1435
2019,MT,226,5170,2137
2019,PA,136,2100,817
2019,PB,130,3619,1564
2019,PE,308,6405,2736
2019,PI,149,3115,1346
2019,PR,500,18259,7708
2019,RJ,353,10889,4606
2019,RN,90,3398,1437
2019,RO,89,4077,1531
2019,RR,38,640,237
2019,RS,304,11422,4594
2019,SC,403,19572,8427
2019,SE,62,1446,612
2019,SP,204,10223,4377
2019,TO,79,1213,520
2020,AC,13,660,300
2020,AL,82,1469,628
2020,AM,16,394,138
2020,AP,5,399,155
2020,BA,505,8442,3453
2020,CE,176,3633,1571
2020,DF,39,2455,1040
2020,ES,142,5647,2533
2020,GO,271,7779,3226
2020,MA,244,2895,1153
2020,MG,717,19814,8371
2020,MS,139,3592,1540
2020,MT,232,4942,2194
2020,PA,123,2444,962
2020,PB,103,3142,1401
2020,PE,317,5986,2559
2020,PI,157,2715,1201
2020,PR,527,15937,7184
2020,RJ,272,9806,4234
2020,RN,100,2997,1336
2020,RO,82,3454,1486
2020,RR,27,611,250
2020,RS,236,10064,4175
2020,SC,382,16340,7220
2020,SE,42,1357,575
2020,SP,240,9181,4043
2020,TO,98,1462,595
2021,AC,7,215,93
2021,AL,40,516,241
2021,AM,5,111,41
2021,AP,8,185,68
2021,BA,204,3344,1377
2021,CE,76,1356,592
2021,DF,13,972,393
2021,ES,56,2505,1072
2021,GO,101,2959,1253
2021,MA,85,1030,428
2021,MG,240,7285,3267
2021,MS,51,1459,635
2021,MT,86,2022,895
2021,PA,69,902,337
2021,PB,42,1315,587
2021,PE,117,2350,972
2021,PI,49,1036,445
2021,PR,227,6431,2807
2021,RJ,125,4312,1839
2021,RN,35,1112,505
2021,RO,28,1261,533
2021,RR,6,240,106
2021,RS,134,4252,1820
2021,SC,127,7062,3167
2021,SE,13,474,219
2021,SP,73,3669,1656
2021,TO,30,495,215
